ID,SKU,Description,Type,Cost,Price,WsalePrice,MaxDiscount,Comments,Unit
122,01466-SDA-A50-G          ,BRAKE HOSE RR RH HONDA/ACCORD 2.0 03-04,1,0,0,0,0,,Unit
123,01466-SJC-A00-G          ,BRAKE HOSE RR RH HONDA/RIDGELINE 06-11,1,6550,16375,0,0,,Unit
124,01466-SL4-010-G          ,"BRAKE HOSE RR RH HONDA/ACCORD , 94-97",1,0,0,0,0,,Unit
125,01466-SL4-901            ,"BRAKE HOSE RR RH HONDA/ACCORD , COUPE , 94-97",1,0,0,0,0,,Unit
126,01466-SL4-901-G          ,BRAKE HOSE RR HONDA/ACCORD COUPE 94-,1,0,0,0,0,,Unit
127,01466-SR3-030-G          ,BRAKE HOSE RR HONDA/CIVIC -95,1,0,0,0,0,,Unit
128,01466-SS0-020-G          ,BRAKE HOSE RR (RH) HONDA/PRELUDE (94-01),1,0,0,0,0,,Unit
129,01466-SW3-J00-G          ,BRAKE HOSE RR HONDA/ACCORD COUPE 94-,1,0,0,0,0,,Unit
130,01466-TF0-000-G          ,BRAKE HOSE RR (RH) HONDA/FIT-08-12,1,2385.24,5963.1,0,0,,Unit
131,01468-S04-900-G          ,BRAKE HOSE RR (LH) HONDA/CIVIC 96-00,1,0,0,0,0,,Unit
132,01468-S0A-000-G          ,BRAKE HOSE RR (LH) HONDA/ACCORD CF-3 TORNEO 1.8 98-,1,0,0,0,0,,Unit
133,01468-S5A-J02-G          ,BRAKE HOSE RR (LH) HONDA/CIVIC 01-,1,0,0,0,0,,Unit
134,01468-S5A-J03-G          ,BRAKE HOSE RR (RH) HONDA/CIVIC 01-,1,0,0,0,0,,Unit
135,01468-S5A-J04-G          ,BRAKE HOSE RR (RH) HONDA/CIVIC 01-,1,0,0,0,0,,Unit
136,01468-S84-A51-G          ,BRAKE HOSE RR (LH) HONDA/ACCORD 98-,1,0,0,0,0,,Unit
137,01468-SAA-000-G          ,"BRAKE HOSE RR LH HONDA/CITY , 03-",1,0,0,0,0,,Unit
138,01468-SDA-A50-G          ,BRAKE HOSE RR LH HONDA/ACCORD 2.0 03-04,1,0,0,0,0,,Unit
139,01468-SS0-010-G          ,BRAKE HOSE RR (LH) HONDA/PRELUDE 94-01,1,0,0,0,0,,Unit
140,01468-TF0-000-G          ,BRAKE HOSE RR (LH) HONDA/FIT 08-12,1,2385.24,5963.1,0,0,,Unit
141,01469-S0A-J00-G          ,"BOOSTER,BRAKE ASSY HONDA/ACCORD CF-3,CF-4,CL-1,CL-3 98-01",1,0,0,0,0,,Unit
142,01469-SDC-E00-G          ,BOOSTER BRAKE HONDA/ACCORD 2.0 03-04,1,0,0,0,0,,Unit
143,01469-TA1-A00-G          ,"BRAKE BOOSTER(10"") HONDA ACCORD 08-12 V6",1,15662.52,36023.8,0,0,,Unit
